hubspot_id,hubspot_type,dataaxle_id,match_type,confidence_score
4770951221.0,building,715432025,exact_address_components,100.0
4525671307.0,building,423420039,exact_address_components,100.0
4770951202.0,building,594362949,exact_address_components,100.0
4770955305.0,building,manual_998974405,exact_address_components,100.0
4770927376.0,building,560251241,exact_address_components,100.0
13574237062.0,building,597416353,exact_address_components,100.0
1161101234.0,building,718632231,exact_address_components,100.0
1161063437.0,building,manual_998974383,exact_address_components,100.0
4525671308.0,building,manual_998974406,exact_address_components,100.0
4770955320.0,building,manual_998974456,exact_address_components,100.0
13574278017.0,building,manual_998974366,exact_address_components,100.0
13574272035.0,building,manual_998974370,exact_address_components,100.0
1161108057.0,building,590227237,fuzzy_street_name,96.55172413793103
6027364959.0,building,414587173,exact_address_components,100.0
2468175420.0,building,manual_998974443,fuzzy_street_name,95.23809523809523
4525553703.0,building,402190040,exact_address_components,100.0
5624300094.0,building,manual_998974306,fuzzy_street_name,94.11764705882352
5624416873.0,building,manual_998974434,exact_address_components,100.0
4770927375.0,building,407340864,exact_address_components,100.0
4771920255.0,building,423420044,exact_address_components,100.0
5622533208.0,building,404154052,exact_address_components,100.0
4770223282.0,building,606432698,exact_address_components,100.0
2467862366.0,building,manual_998974413,exact_address_components,100.0
4772019524.0,building,manual_998974414,exact_address_components,100.0
4772032344.0,building,manual_998974435,exact_address_components,100.0
13574217773.0,building,770318481,exact_address_components,100.0
13574273148.0,building,manual_998974369,exact_address_components,100.0
4770955354.0,building,266696129,exact_address_components,100.0
13574286236.0,building,manual_998974359,exact_address_components,100.0
4525655962.0,building,417502505,exact_address_components,100.0
5624321867.0,building,manual_998974408,exact_address_components,100.0
4534393511.0,building,manual_998974400,exact_address_components,100.0
5624180889.0,building,382184448,exact_address_components,100.0
5624293995.0,building,479805954,exact_address_components,100.0
5624328828.0,building,757426961,exact_address_components,100.0
4770927377.0,building,682637269,exact_address_components,100.0
4771920192.0,building,393632906,exact_address_components,100.0
4770955388.0,building,756047484,exact_address_components,100.0
4772032321.0,building,395613169,exact_address_components,100.0
5624271373.0,building,664455888,exact_address_components,100.0
5624416876.0,building,365212455,exact_address_components,100.0
5622499429.0,building,951619097,exact_address_components,100.0
